仕舞い,シマイ
綺,アヤギヌ
洋裁,ヨウサイ
組打ち,クミウチ
畿内,キナイ
明き家,アキヤ
酔,ヨイ
乱臣,ランシン
シルバー,シルバー
放課後,ホウカゴ
漢籍,カンセキ
玉髄,ギョクズイ
フリースクール,フリースクール
私傷,シショウ
死に顔,シニガオ
文明,ブンメイ
本領,ホンリョウ
客受け,キャクウケ
フォーマット,フォーマット
東半球,ヒガシハンキュウ
サティアン,サティアン
存否,ソンピ
残飯,ザンパン
賃搗,チンヅキ
常民,ジョウミン
別後,ベツゴ
心血,シンケツ
九輪,クリン
軍法,グンポウ
煎茶,センチャ
既望,キボウ
紙鳶,イカノボリ
大蔵経,ダイゾウキョウ
棟木,ムナギ
神隠し,カミガクシ
辻つま,ツジツマ
割箸,ワリバシ
魁,サキガケ
しらす,シラス
インフォームド・コンセント,インフォームドコンセント
学課,ガッカ
右目,ミギメ
わさん,ワサン
奇書,キショ
発条,ハツジョウ
青色,アオイロ
お目見得,オメミエ
入り船,イリフネ
ズームアップ,ズームアップ
ポイントツーポイント,ポイントツーポイント
都県,トケン
素子,ソシ
不抜,フバツ
プロダクション,プロダクション
在銘,ザイメイ
鏡台,キョウダイ
錯角,サッカク
寄生虫,キセイチュウ
現数,ゲンスウ
世辞,セジ
コクガ,コクガ
日向ぼっこ,ヒナタボッコ
癇の虫,カンノムシ
出し物,ダシモノ
手並,テナミ
端初,タンショ
親代わり,オヤガワリ
硬式,コウシキ
小割り,コワリ
蘆荻,ロテキ
職歴,ショクレキ
湾岸,ワンガン
気鬱,キウツ
他門,タモン
前座,ゼンザ
未婚,ミコン
口言葉,クチコトバ
厨子,ズシ
おろ抜き,オロヌキ
皆朱,カイシュ
林産,リンサン
懇命,コンメイ
真下,マシタ
ソナタ,ソナタ
船人,フナビト
氏名,シメイ
プレビュー,プレビュー
年上,トシウエ
裸足,ハダシ
ヒンズー,ヒンズー
連用形,レンヨウケイ
雨避け,アマヨケ
仏道,ブツドウ
偶感,グウカン
方解石,ホウカイセキ
警世,ケイセイ
吸付煙草,スイツケタバコ
報,ホウ
ベッチン,ベッチン
坐禅,ザゼン
家尻切り,ヤジリキリ
裏山,ウラヤマ
凡人,ボンジン
烈震,レッシン
原論,ゲンロン
腎バンク,ジンバンク
強力,ゴウリキ
強力,キョウリョク
若緑,ワカミドリ
氏,シ
氏,ウジ
側用人,ソバヨウニン
期首,キシュ
ハング,ハング
耳,ミミ
雅男,ミヤビヲ
五百羅漢,ゴヒャクラカン
こぶし,コブシ
棋力,キリョク
つい骨,ツイコツ
山へん,ヤマヘン
梨の礫,ナシノツブテ
好き,スキ
エゴノキ,エゴノキ
ちりとり,チリトリ
制服,セイフク
みそっ歯,ミソッパ
ダークチェンジ,ダークチェンジ
薩摩芋,サツマイモ
デスクリプタ,デスクリプタ
銀鉱,ギンコウ
連送,レンソウ
ワキン,ワキン
濫觴,ランショウ
冷気,レイキ
一人,ヒトリ
鼠落し,ネズミオトシ
アウトプット,アウトプット
礼金,レイキン
撩乱,リョウラン
実話,ジツワ
早,ハヤ
早霜,ハヤジモ
涼秋,リョウシュウ
常識,ジョウシキ
端緒,タンショ
端緒,タンチョ
小倉餡,オグラアン
斤,キン
荒性,アレショウ
せん毛,センモウ
締め切り,シメキリ
縁組み,エングミ
名答,メイトウ
縫紋,ヌイモン
君子,クンシ
盛菓子,モリガシ
榕樹,ヨウジュ
家事,カジ
コニイビイヤ,コニイビイヤ
ホーム,ホーム
鉄敷,カナシキ
感じ,カンジ
